                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4564,                 3.5018,                 3.1622,                0.29441,                0.10467,                 0.0846,                0.03757,                 2.3724,                  2.425,                 2.1481,             0.00036931,             0.00036931,             0.00036931
                      2,                 2.1691,                 1.9971,                 1.8012,                0.45219,                0.34198,                0.34281,                0.17836,                 1.7898,                 1.5868,                 1.5651,               0.000725,               0.000725,               0.000725
                      3,                 1.8534,                 1.5743,                 1.5133,                0.61425,                0.40504,                0.45406,                0.25691,                  1.527,                 1.2146,                 1.3848,               0.001066,               0.001066,               0.001066
                      4,                 1.6791,                 1.3443,                  1.386,                 0.6056,                0.49204,                0.53615,                0.31209,                 1.4411,                 1.1641,                 1.2997,               0.001045,               0.001045,               0.001045
                      5,                 1.5877,                 1.2287,                 1.3166,                0.64527,                 0.5251,                0.58005,                 0.3435,                 1.3648,                 1.0724,                 1.2432,               0.001045,               0.001045,               0.001045
                      6,                 1.5139,                 1.1307,                 1.2652,                0.69589,                0.57346,                0.62243,                0.37166,                 1.3438,                 0.9634,                 1.2279,               0.001023,               0.001023,               0.001023
                      7,                 1.4706,                 1.0901,                 1.2444,                0.71264,                0.60127,                0.66444,                0.41003,                 1.2848,                0.90158,                 1.1903,               0.001001,               0.001001,               0.001001
                      8,                 1.4263,                  1.037,                 1.2173,                0.75362,                0.58574,                0.67789,                0.41961,                 1.2472,                0.89014,                 1.1699,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.3965,                0.99757,                 1.1949,                0.73534,                0.63601,                0.70399,                0.43443,                 1.2629,                0.87072,                  1.173,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.3744,                0.96433,                   1.18,                0.75356,                0.64189,                0.71375,                0.44708,                 1.2162,                0.85682,                 1.1404,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.3535,                0.94766,                 1.1657,                0.75654,                 0.6526,                0.72691,                0.45741,                  1.212,                0.81625,                 1.1349,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.3339,                0.92094,                 1.1546,                0.76259,                0.67023,                0.74458,                 0.4732,                 1.1931,                0.79562,                 1.1223,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.3137,                0.90152,                 1.1434,                0.78097,                0.65514,                0.74533,                0.47054,                 1.1962,                0.79139,                 1.1197,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.2972,                0.88521,                 1.1335,                0.77576,                0.70315,                 0.7785,                0.49993,                 1.1537,                0.75674,                 1.0965,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.2862,                0.86803,                 1.1236,                0.79331,                0.70328,                0.77009,                0.49924,                 1.1585,                0.75869,                 1.0956,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.2797,                0.86028,                 1.1216,                0.80636,                0.71706,                0.78631,                0.51111,                  1.147,                0.73761,                 1.0861,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.2635,                0.83789,                 1.1104,                0.79206,                0.72516,                0.78337,                 0.5108,                 1.1332,                0.74613,                 1.0771,             0.00078103,             0.00078103,             0.00078103
                     18,                  1.249,                0.82908,                 1.1038,                 0.7871,                0.71069,                0.78437,                0.51575,                 1.1344,                0.73497,                 1.0768,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.2443,                0.82335,                 1.0997,                0.81387,                0.72102,                0.79648,                0.52722,                  1.115,                0.70624,                 1.0651,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.2294,                0.80621,                 1.0943,                0.80611,                0.73597,                0.79722,                0.52753,                 1.1111,                 0.6987,                 1.0616,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.2182,                0.79832,                 1.0859,                0.81602,                0.72793,                0.80669,                0.53588,                 1.1128,                0.69284,                 1.0633,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.2148,                0.79237,                 1.0837,                 0.8278,                0.73634,                 0.8096,                0.53993,                 1.0913,                0.68018,                 1.0523,             0.00067104,             0.00067104,             0.00067104
                     23,                 1.1996,                0.77969,                 1.0777,                0.83701,                0.74991,                0.82257,                0.54775,                 1.0955,                0.67542,                 1.0509,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.2007,                0.77428,                 1.0718,                0.85215,                0.74279,                 0.8221,                0.54673,                 1.0755,                 0.6667,                 1.0414,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.1895,                0.76297,                 1.0679,                 0.8152,                0.76249,                 0.8268,                0.55267,                 1.0706,                0.66747,                 1.0379,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.1836,                0.75717,                 1.0647,                0.81961,                0.75964,                 0.8245,                0.55574,                   1.08,                0.66495,                 1.0395,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.1749,                0.75462,                 1.0617,                0.82775,                0.75753,                0.82998,                0.56003,                 1.0656,                0.65049,                 1.0358,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.1643,                0.74387,                 1.0554,                0.84705,                0.76203,                0.83573,                0.56557,                 1.0651,                0.64921,                  1.034,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.1626,                0.74348,                 1.0569,                0.82401,                0.77962,                 0.8359,                0.56437,                 1.0522,                0.64211,                 1.0261,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.1523,                0.73387,                 1.0518,                0.83005,                0.76734,                0.83565,                0.56723,                  1.052,                0.64227,                 1.0265,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.1418,                0.72699,                 1.0481,                0.81688,                0.78434,                0.84419,                 0.5689,                 1.0511,                0.63662,                 1.0262,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.1462,                0.72451,                 1.0466,                0.84126,                0.77619,                0.84648,                0.57474,                 1.0409,                0.63113,                 1.0212,             0.00045107,             0.00045107,             0.00045107
                     33,                 1.1348,                0.71646,                 1.0431,                0.86169,                0.77133,                0.85143,                 0.5794,                 1.0349,                0.62986,                 1.0162,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.1373,                0.71761,                 1.0403,                0.83456,                0.78635,                0.84873,                0.57828,                 1.0393,                0.62443,                 1.0198,             0.00040707,             0.00040707,             0.00040707
                     35,                 1.1261,                0.70692,                 1.0365,                0.82137,                0.79805,                0.85148,                0.57989,                 1.0305,                0.61805,                 1.0154,             0.00038507,             0.00038507,             0.00038507
                     36,                 1.1212,                0.70471,                 1.0333,                0.84998,                  0.781,                0.85337,                0.58554,                  1.022,                  0.615,                 1.0091,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.1204,                0.70167,                 1.0321,                0.86086,                0.78163,                0.85919,                 0.5885,                 1.0223,                0.60879,                 1.0071,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.1104,                0.69359,                 1.0298,                 0.8507,                0.80024,                0.86251,                0.59404,                 1.0232,                0.61222,                 1.0082,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.1066,                 0.6917,                  1.029,                0.85166,                 0.8011,                0.86456,                0.59624,                 1.0138,                0.60653,                 1.0047,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.1066,                0.68997,                 1.0263,                0.85855,                0.79913,                0.86362,                0.60016,                 1.0088,                0.60169,                 1.0015,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.0597,                0.64594,                 1.0194,                0.85456,                0.79683,                0.86569,                0.59778,                 1.0139,                0.60492,                 1.0025,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.0488,                0.63471,                 1.0162,                0.87135,                0.79676,                0.86648,                0.60313,                 1.0059,                0.59815,                 1.0016,             0.00023109,             0.00023109,             0.00023109
